country,esco,date,count
IRELAND,"Skilled agricultural, forestry and fishery workers",2016-05-01,6
DEUTSCHLAND,Professionals,2012-04-01,8
DEUTSCHLAND,Professionals,2012-10-01,27
UNITED KINGDOM,Elementary occupations,2016-03-01,9973
IRELAND,Managers,2016-05-01,6790
DEUTSCHLAND,Craft and related trades workers,2014-12-01,87
UNITED KINGDOM,Professionals,2015-04-01,560
UNITED KINGDOM,"Skilled agricultural, forestry and fishery workers",2015-06-01,472
ITALIA,Professionals,2014-12-01,13
UNITED KINGDOM,Managers,2010-05-01,1
DEUTSCHLAND,Elementary occupations,2015-06-01,66971
DEUTSCHLAND,Professionals,2014-02-01,45
DEUTSCHLAND,Managers,2012-01-01,8
ČESKÁ REPUBLIKA,Craft and related trades workers,2016-02-01,3114
DEUTSCHLAND,"Skilled agricultural, forestry and fishery workers",2015-02-01,5
DEUTSCHLAND,Service and sales workers,2012-02-01,2
ČESKÁ REPUBLIKA,"Skilled agricultural, forestry and fishery workers",2015-06-01,144
ČESKÁ REPUBLIKA,Technicians and associate professionals,2015-06-01,3663
ITALIA,Craft and related trades workers,2016-06-01,4094
UNITED KINGDOM,Technicians and associate professionals,2015-08-01,95313
ČESKÁ REPUBLIKA,Technicians and associate professionals,2014-09-01,19
UNITED KINGDOM,Service and sales workers,2016-03-01,36211
DEUTSCHLAND,Professionals,2014-03-01,37
DEUTSCHLAND,Craft and related trades workers,2015-10-01,68192
ITALIA,Elementary occupations,2015-11-01,1702
ITALIA,Managers,2016-02-01,1004
UNITED KINGDOM,Technicians and associate professionals,2014-09-01,37
DEUTSCHLAND,Professionals,2012-11-01,25
UNITED KINGDOM,Professionals,2010-09-01,1
