country,esco,S_YEAR_MONTH,count,date
Luxembourg,Elementary occupations,2015/05,3,2015-05-01
Slovakia,"Skilled agricultural, forestry and fishery workers",2016/01,23,2016-01-01
Hungary,Armed forces occupations,2016/11,2,2016-11-01
Luxembourg,Managers,2015/03,13,2015-03-01
Luxembourg,Craft and related trades workers,2015/10,1,2015-10-01
Estonia,Elementary occupations,2015/03,89,2015-03-01
Italy,Service and sales workers,2015/04,10522,2015-04-01
Slovenia,Service and sales workers,2015/05,284,2015-05-01
Portugal,Professionals,2015/06,4544,2015-06-01
Spain,Technicians and associate professionals,2015/07,8057,2015-07-01
Belgium,Technicians and associate professionals,2015/08,551,2015-08-01
Slovakia,Professionals,2015/08,355,2015-08-01
Lithuania,Professionals,2015/09,621,2015-09-01
Bulgaria,"Skilled agricultural, forestry and fishery workers",2015/12,101,2015-12-01
United Kingdom,Professionals,2016/01,997,2016-01-01
Germany,Technicians and associate professionals,2016/04,983,2016-04-01
Hungary,Managers,2016/05,579,2016-05-01
Romania,Elementary occupations,2016/06,2010,2016-06-01
Poland,Service and sales workers,2016/09,1403,2016-09-01
Portugal,Elementary occupations,2016/10,528,2016-10-01
Estonia,Service and sales workers,2015/06,151,2015-06-01
United Kingdom,Armed forces occupations,2015/08,1,2015-08-01
Lithuania,Elementary occupations,2015/10,227,2015-10-01
Germany,Elementary occupations,2016/03,105,2016-03-01
Belgium,Craft and related trades workers,2016/04,99,2016-04-01
Estonia,Professionals,2016/06,418,2016-06-01
Latvia,"Plant and machine operators, and assemblers",2016/08,116,2016-08-01
Latvia,"Plant and machine operators, and assemblers",2015/10,75,2015-10-01
Spain,Clerical support workers,2015/05,3415,2015-05-01
Luxembourg,Technicians and associate professionals,2015/11,18,2015-11-01
Poland,Elementary occupations,2016/03,1388,2016-03-01
Hungary,Service and sales workers,2016/04,1415,2016-04-01
Romania,"Skilled agricultural, forestry and fishery workers",2016/04,521,2016-04-01
Lithuania,"Plant and machine operators, and assemblers",2016/05,190,2016-05-01
Greece,Managers,2016/06,957,2016-06-01
Netherlands,Elementary occupations,2016/06,53,2016-06-01
Germany,Professionals,2016/07,2756,2016-07-01
Croatia,Technicians and associate professionals,2016/08,3459,2016-08-01
Finland,Professionals,2016/11,1881,2016-11-01
Romania,"Plant and machine operators, and assemblers",2016/11,1781,2016-11-01
Croatia,"Plant and machine operators, and assemblers",2015/04,1320,2015-04-01
Estonia,Elementary occupations,2016/01,117,2016-01-01
Netherlands,"Plant and machine operators, and assemblers",2016/07,74,2016-07-01
Belgium,Craft and related trades workers,2015/12,87,2015-12-01
Latvia,Clerical support workers,2016/06,131,2016-06-01
Slovenia,Managers,2016/06,304,2016-06-01
Sweden,Elementary occupations,2016/01,50,2016-01-01
United Kingdom,"Plant and machine operators, and assemblers",2016/10,58,2016-10-01
Belgium,"Skilled agricultural, forestry and fishery workers",2015/06,7,2015-06-01
Czech Republic,Clerical support workers,2015/03,243,2015-03-01
Poland,Craft and related trades workers,2015/06,1012,2015-06-01
Sweden,Elementary occupations,2015/06,42,2015-06-01
France,Craft and related trades workers,2015/12,224,2015-12-01
Finland,Clerical support workers,2016/02,484,2016-02-01
Greece,"Plant and machine operators, and assemblers",2016/02,402,2016-02-01
Romania,"Plant and machine operators, and assemblers",2016/03,1614,2016-03-01
Croatia,Technicians and associate professionals,2016/09,3517,2016-09-01
Greece,Craft and related trades workers,2016/09,625,2016-09-01
Romania,Service and sales workers,2016/09,1993,2016-09-01
Croatia,Craft and related trades workers,2016/09,1727,2016-09-01
Germany,Craft and related trades workers,2015/03,146,2015-03-01
Latvia,Craft and related trades workers,2015/07,73,2015-07-01
France,Elementary occupations,2015/11,120,2015-11-01
United Kingdom,Service and sales workers,2016/08,312,2016-08-01
Slovakia,Clerical support workers,2015/10,131,2015-10-01
Cyprus,Service and sales workers,2016/02,48,2016-02-01
Malta,Managers,2015/04,72,2015-04-01
Malta,Clerical support workers,2016/01,37,2016-01-01
Finland,"Skilled agricultural, forestry and fishery workers",2016/11,35,2016-11-01
Luxembourg,"Skilled agricultural, forestry and fishery workers",2015/09,2,2015-09-01
Italy,Craft and related trades workers,2015/08,2427,2015-08-01
Croatia,Technicians and associate professionals,2015/08,2767,2015-08-01
Greece,Professionals,2015/10,4358,2015-10-01
Bulgaria,Craft and related trades workers,2015/10,632,2015-10-01
Germany,Technicians and associate professionals,2015/10,783,2015-10-01
Hungary,Professionals,2016/03,2989,2016-03-01
Bulgaria,Managers,2016/05,684,2016-05-01
Spain,"Plant and machine operators, and assemblers",2016/06,1545,2016-06-01
Sweden,Professionals,2016/09,778,2016-09-01
Germany,Technicians and associate professionals,2016/10,1155,2016-10-01
Hungary,Technicians and associate professionals,2016/11,1864,2016-11-01
France,Clerical support workers,2016/11,1096,2016-11-01
Hungary,Managers,2016/11,628,2016-11-01
Portugal,"Plant and machine operators, and assemblers",2015/09,342,2015-09-01
Malta,Technicians and associate professionals,2016/11,71,2016-11-01
United Kingdom,Craft and related trades workers,2015/05,56,2015-05-01
Malta,Elementary occupations,2015/09,9,2015-09-01
France,Elementary occupations,2016/03,207,2016-03-01
Estonia,"Skilled agricultural, forestry and fishery workers",2016/03,35,2016-03-01
Denmark,"Skilled agricultural, forestry and fishery workers",2016/05,7,2016-05-01
Austria,"Plant and machine operators, and assemblers",2015/04,24,2015-04-01
Italy,Service and sales workers,2015/05,5544,2015-05-01
Croatia,Craft and related trades workers,2015/06,1168,2015-06-01
Poland,Managers,2015/06,474,2015-06-01
Romania,Service and sales workers,2015/09,1504,2015-09-01
Finland,Managers,2015/10,327,2015-10-01
Greece,Craft and related trades workers,2015/11,473,2015-11-01
Greece,Professionals,2015/12,4588,2015-12-01
Romania,Professionals,2016/02,4521,2016-02-01
Italy,Professionals,2016/02,28910,2016-02-01
Spain,Technicians and associate professionals,2016/03,10585,2016-03-01
Lithuania,Service and sales workers,2016/03,303,2016-03-01
Portugal,Technicians and associate professionals,2016/05,3145,2016-05-01
Netherlands,Professionals,2016/06,1182,2016-06-01
Estonia,Elementary occupations,2016/06,122,2016-06-01
Sweden,Elementary occupations,2016/09,74,2016-09-01
Italy,Elementary occupations,2016/10,3148,2016-10-01
Finland,Managers,2015/04,456,2015-04-01
Lithuania,Craft and related trades workers,2015/08,158,2015-08-01
Austria,Professionals,2016/02,397,2016-02-01
Czech Republic,Professionals,2016/06,827,2016-06-01
Germany,Craft and related trades workers,2016/10,297,2016-10-01
Austria,Managers,2015/06,69,2015-06-01
Portugal,Elementary occupations,2015/08,383,2015-08-01
Denmark,Service and sales workers,2015/06,39,2015-06-01
Latvia,Craft and related trades workers,2016/01,95,2016-01-01
Croatia,Craft and related trades workers,2015/04,2112,2015-04-01
Bulgaria,"Plant and machine operators, and assemblers",2015/06,526,2015-06-01
Bulgaria,"Plant and machine operators, and assemblers",2015/07,535,2015-07-01
Poland,"Plant and machine operators, and assemblers",2015/08,965,2015-08-01
Hungary,Clerical support workers,2015/10,1187,2015-10-01
Romania,Service and sales workers,2016/01,1723,2016-01-01
Denmark,Service and sales workers,2016/01,78,2016-01-01
Poland,Craft and related trades workers,2016/03,1357,2016-03-01
Italy,"Plant and machine operators, and assemblers",2016/07,1917,2016-07-01
Belgium,Professionals,2016/08,2183,2016-08-01
Netherlands,Managers,2016/09,445,2016-09-01
Croatia,Clerical support workers,2016/10,1575,2016-10-01
Finland,Technicians and associate professionals,2015/05,501,2015-05-01
Belgium,Managers,2015/10,315,2015-10-01
Austria,Technicians and associate professionals,2016/05,199,2016-05-01
France,"Plant and machine operators, and assemblers",2015/03,74,2015-03-01
Cyprus,Craft and related trades workers,2015/06,18,2015-06-01
Cyprus,"Skilled agricultural, forestry and fishery workers",2016/09,9,2016-09-01
Slovakia,"Skilled agricultural, forestry and fishery workers",2016/05,25,2016-05-01
Greece,Armed forces occupations,2015/03,3,2015-03-01
Belgium,Service and sales workers,2015/03,173,2015-03-01
Latvia,Clerical support workers,2015/03,81,2015-03-01
Germany,Managers,2015/04,846,2015-04-01
United Kingdom,Technicians and associate professionals,2015/05,326,2015-05-01
Portugal,Clerical support workers,2015/07,780,2015-07-01
Romania,Professionals,2015/10,3943,2015-10-01
Belgium,Professionals,2015/10,1656,2015-10-01
Poland,Professionals,2015/12,3145,2015-12-01
Hungary,Elementary occupations,2015/12,1148,2015-12-01
Slovakia,Elementary occupations,2015/12,111,2015-12-01
Romania,Craft and related trades workers,2016/01,1634,2016-01-01
Estonia,"Plant and machine operators, and assemblers",2015/08,71,2015-08-01
Germany,Service and sales workers,2016/08,463,2016-08-01
Sweden,Managers,2016/10,205,2016-10-01
Estonia,Managers,2015/04,220,2015-04-01
Slovakia,Technicians and associate professionals,2015/06,162,2015-06-01
Lithuania,Clerical support workers,2016/10,328,2016-10-01
Estonia,Clerical support workers,2015/03,96,2015-03-01
Germany,"Skilled agricultural, forestry and fishery workers",2015/05,14,2015-05-01
Malta,Service and sales workers,2016/01,30,2016-01-01
Luxembourg,Elementary occupations,2016/03,5,2016-03-01
Greece,Armed forces occupations,2016/04,6,2016-04-01
Austria,"Skilled agricultural, forestry and fishery workers",2015/04,2,2015-04-01
Italy,Managers,2015/05,2873,2015-05-01
Italy,Clerical support workers,2015/06,7469,2015-06-01
Portugal,Professionals,2015/11,5586,2015-11-01
Romania,"Skilled agricultural, forestry and fishery workers",2016/03,519,2016-03-01
Poland,Managers,2016/05,679,2016-05-01
Germany,Craft and related trades workers,2016/07,279,2016-07-01
Spain,Service and sales workers,2016/08,5771,2016-08-01
Italy,Managers,2016/09,4782,2016-09-01
Bulgaria,Craft and related trades workers,2016/10,769,2016-10-01
United Kingdom,Craft and related trades workers,2016/06,95,2016-06-01
Cyprus,Service and sales workers,2016/01,52,2016-01-01
Lithuania,"Skilled agricultural, forestry and fishery workers",2016/07,58,2016-07-01
Portugal,"Skilled agricultural, forestry and fishery workers",2016/08,65,2016-08-01
Cyprus,Clerical support workers,2016/02,63,2016-02-01
Romania,Armed forces occupations,2016/07,5,2016-07-01
Denmark,Service and sales workers,2016/07,93,2016-07-01
Sweden,Craft and related trades workers,2016/11,57,2016-11-01
Netherlands,"Plant and machine operators, and assemblers",2015/06,36,2015-06-01
Italy,Armed forces occupations,2015/05,8,2015-05-01
Austria,Elementary occupations,2016/04,29,2016-04-01
Malta,Craft and related trades workers,2015/11,11,2015-11-01
Bulgaria,Armed forces occupations,2015/11,1,2015-11-01
Portugal,Service and sales workers,2015/03,749,2015-03-01
Greece,Elementary occupations,2015/04,610,2015-04-01
Poland,Craft and related trades workers,2015/10,1160,2015-10-01
Spain,Technicians and associate professionals,2016/01,9971,2016-01-01
Romania,Clerical support workers,2016/05,1811,2016-05-01
Italy,Elementary occupations,2016/05,2957,2016-05-01
Romania,Technicians and associate professionals,2016/05,2915,2016-05-01
Italy,Service and sales workers,2016/06,8169,2016-06-01
Croatia,Craft and related trades workers,2016/10,1738,2016-10-01
Finland,Craft and related trades workers,2015/10,146,2015-10-01
Estonia,Craft and related trades workers,2016/02,109,2016-02-01
Lithuania,Managers,2016/08,316,2016-08-01
Belgium,"Plant and machine operators, and assemblers",2015/04,84,2015-04-01
Cyprus,Managers,2016/07,115,2016-07-01
Estonia,Managers,2016/04,156,2016-04-01
Netherlands,Elementary occupations,2015/12,41,2015-12-01
Bulgaria,"Plant and machine operators, and assemblers",2015/03,470,2015-03-01
Slovakia,"Plant and machine operators, and assemblers",2015/06,39,2015-06-01
Austria,Craft and related trades workers,2015/11,31,2015-11-01
Denmark,Craft and related trades workers,2015/12,16,2015-12-01
Denmark,Technicians and associate professionals,2015/09,87,2015-09-01
France,Managers,2015/04,1650,2015-04-01
Germany,Professionals,2015/04,3052,2015-04-01
Slovenia,Technicians and associate professionals,2015/08,573,2015-08-01
Romania,Clerical support workers,2015/10,1534,2015-10-01
Bulgaria,Technicians and associate professionals,2015/11,1288,2015-11-01
United Kingdom,Professionals,2015/11,943,2015-11-01
Netherlands,Managers,2016/01,363,2016-01-01
Belgium,Professionals,2016/04,2039,2016-04-01
Belgium,Professionals,2016/06,2119,2016-06-01
Sweden,Technicians and associate professionals,2016/07,413,2016-07-01
Portugal,Technicians and associate professionals,2016/08,3338,2016-08-01
Bulgaria,"Skilled agricultural, forestry and fishery workers",2016/10,119,2016-10-01
Denmark,"Plant and machine operators, and assemblers",2016/01,9,2016-01-01
United Kingdom,Craft and related trades workers,2015/06,57,2015-06-01
Portugal,"Plant and machine operators, and assemblers",2015/10,361,2015-10-01
Austria,Professionals,2015/08,298,2015-08-01
Belgium,Service and sales workers,2015/09,277,2015-09-01
Slovakia,Elementary occupations,2015/06,98,2015-06-01
Belgium,Elementary occupations,2015/12,64,2015-12-01
Netherlands,Armed forces occupations,2016/06,1,2016-06-01
Luxembourg,"Skilled agricultural, forestry and fishery workers",2015/05,1,2015-05-01
Spain,Service and sales workers,2015/05,3657,2015-05-01
Poland,Managers,2015/05,449,2015-05-01
Czech Republic,Professionals,2015/05,531,2015-05-01
France,Managers,2015/07,935,2015-07-01
Croatia,"Plant and machine operators, and assemblers",2015/08,800,2015-08-01
Greece,Managers,2015/11,774,2015-11-01
Belgium,Professionals,2016/01,1843,2016-01-01
Czech Republic,Craft and related trades workers,2016/01,163,2016-01-01
Austria,Professionals,2016/01,385,2016-01-01
Romania,"Plant and machine operators, and assemblers",2016/06,1685,2016-06-01
Germany,Craft and related trades workers,2015/09,190,2015-09-01
Malta,Professionals,2016/01,135,2016-01-01
Latvia,Craft and related trades workers,2016/05,117,2016-05-01
France,Elementary occupations,2016/10,263,2016-10-01
Estonia,Professionals,2016/10,477,2016-10-01
Luxembourg,Managers,2015/11,18,2015-11-01
Slovenia,Elementary occupations,2016/01,227,2016-01-01
Romania,Armed forces occupations,2016/04,5,2016-04-01
Malta,Service and sales workers,2015/10,30,2015-10-01
Luxembourg,Managers,2015/12,18,2015-12-01
Luxembourg,Craft and related trades workers,2016/05,4,2016-05-01
Luxembourg,"Skilled agricultural, forestry and fishery workers",2015/10,2,2015-10-01
Cyprus,"Skilled agricultural, forestry and fishery workers",2015/10,7,2015-10-01
Estonia,"Skilled agricultural, forestry and fishery workers",2015/03,29,2015-03-01
Lithuania,Clerical support workers,2015/03,210,2015-03-01
Italy,Service and sales workers,2015/07,5892,2015-07-01
Bulgaria,Professionals,2015/07,1885,2015-07-01
Slovenia,Service and sales workers,2015/10,369,2015-10-01
Bulgaria,Clerical support workers,2015/10,776,2015-10-01
Austria,Professionals,2015/12,373,2015-12-01
Spain,Craft and related trades workers,2016/02,1965,2016-02-01
Spain,Craft and related trades workers,2016/04,2045,2016-04-01
Slovakia,Clerical support workers,2016/04,153,2016-04-01
Belgium,Service and sales workers,2016/04,372,2016-04-01
Netherlands,Professionals,2016/05,1163,2016-05-01
Portugal,Craft and related trades workers,2016/07,550,2016-07-01
Netherlands,"Plant and machine operators, and assemblers",2016/09,79,2016-09-01
Spain,Craft and related trades workers,2016/10,2284,2016-10-01
Latvia,Craft and related trades workers,2016/10,134,2016-10-01
Estonia,Technicians and associate professionals,2016/11,243,2016-11-01
Poland,Managers,2015/07,490,2015-07-01
United Kingdom,Service and sales workers,2015/07,228,2015-07-01
Latvia,Elementary occupations,2015/05,75,2015-05-01
Luxembourg,Technicians and associate professionals,2016/01,21,2016-01-01
Bulgaria,Professionals,2015/03,1640,2015-03-01
Greece,Technicians and associate professionals,2015/04,2554,2015-04-01
Greece,Craft and related trades workers,2015/04,674,2015-04-01
Bulgaria,Managers,2015/05,518,2015-05-01
Poland,Elementary occupations,2015/10,1196,2015-10-01
Czech Republic,Elementary occupations,2016/02,253,2016-02-01
Spain,Clerical support workers,2016/05,4990,2016-05-01
Spain,"Plant and machine operators, and assemblers",2016/11,1669,2016-11-01
Slovenia,"Plant and machine operators, and assemblers",2015/12,130,2015-12-01
United Kingdom,Service and sales workers,2016/06,307,2016-06-01
Austria,Technicians and associate professionals,2015/04,196,2015-04-01
Austria,Service and sales workers,2015/12,70,2015-12-01
Slovakia,Clerical support workers,2016/11,187,2016-11-01
Malta,Managers,2015/06,38,2015-06-01
Austria,"Plant and machine operators, and assemblers",2015/05,12,2015-05-01
Denmark,Craft and related trades workers,2015/07,14,2015-07-01
Austria,Clerical support workers,2016/01,114,2016-01-01
Austria,Clerical support workers,2015/08,88,2015-08-01
Cyprus,Clerical support workers,2015/03,45,2015-03-01
Cyprus,"Plant and machine operators, and assemblers",2016/09,14,2016-09-01
Estonia,Armed forces occupations,2016/02,1,2016-02-01
Greece,Professionals,2015/03,3056,2015-03-01
Estonia,Service and sales workers,2015/03,130,2015-03-01
Portugal,Craft and related trades workers,2015/09,398,2015-09-01
Slovenia,Craft and related trades workers,2015/09,155,2015-09-01
Romania,Managers,2015/10,877,2015-10-01
Italy,Professionals,2016/01,27957,2016-01-01
Italy,Elementary occupations,2016/01,2676,2016-01-01
Lithuania,Elementary occupations,2016/03,253,2016-03-01
Poland,"Skilled agricultural, forestry and fishery workers",2016/07,217,2016-07-01
Sweden,Service and sales workers,2016/07,338,2016-07-01
Greece,Clerical support workers,2016/09,1309,2016-09-01
Latvia,Technicians and associate professionals,2016/09,250,2016-09-01
Czech Republic,Elementary occupations,2016/11,300,2016-11-01
Cyprus,Managers,2016/09,124,2016-09-01
United Kingdom,Managers,2016/10,380,2016-10-01
Austria,Technicians and associate professionals,2016/03,187,2016-03-01
Czech Republic,"Skilled agricultural, forestry and fishery workers",2015/07,42,2015-07-01
Cyprus,Elementary occupations,2016/05,43,2016-05-01
Poland,Armed forces occupations,2015/10,7,2015-10-01
Croatia,Armed forces occupations,2016/04,7,2016-04-01
Malta,Elementary occupations,2015/11,9,2015-11-01
Luxembourg,Craft and related trades workers,2015/09,1,2015-09-01
Latvia,Craft and related trades workers,2015/03,61,2015-03-01
Sweden,Professionals,2015/06,495,2015-06-01
Estonia,Clerical support workers,2015/07,112,2015-07-01
Belgium,Clerical support workers,2015/07,314,2015-07-01
Greece,Craft and related trades workers,2015/07,378,2015-07-01
Poland,Professionals,2015/08,2712,2015-08-01
Spain,Craft and related trades workers,2015/12,1877,2015-12-01
Lithuania,Craft and related trades workers,2015/12,191,2015-12-01
Finland,Professionals,2016/03,1560,2016-03-01
Croatia,"Plant and machine operators, and assemblers",2016/07,1011,2016-07-01
Spain,Clerical support workers,2016/08,5271,2016-08-01
Finland,Technicians and associate professionals,2016/10,941,2016-10-01
Sweden,Clerical support workers,2016/07,211,2016-07-01
Slovakia,Elementary occupations,2015/03,92,2015-03-01
Belgium,Craft and related trades workers,2015/06,72,2015-06-01
United Kingdom,Clerical support workers,2015/06,189,2015-06-01
Estonia,Service and sales workers,2015/09,179,2015-09-01
Finland,"Plant and machine operators, and assemblers",2016/06,132,2016-06-01
Germany,Elementary occupations,2015/06,84,2015-06-01
Slovakia,"Plant and machine operators, and assemblers",2015/12,51,2015-12-01
Netherlands,Armed forces occupations,2015/11,1,2015-11-01
Spain,Professionals,2015/04,37520,2015-04-01
Italy,Technicians and associate professionals,2015/11,11705,2015-11-01
Finland,Service and sales workers,2015/12,552,2015-12-01
Bulgaria,Clerical support workers,2015/12,801,2015-12-01
Bulgaria,Technicians and associate professionals,2016/03,1416,2016-03-01
Portugal,"Skilled agricultural, forestry and fishery workers",2016/07,65,2016-07-01
Lithuania,Service and sales workers,2016/10,361,2016-10-01
Romania,Elementary occupations,2016/11,2138,2016-11-01
Slovenia,Clerical support workers,2016/11,488,2016-11-01
Malta,Elementary occupations,2015/04,16,2015-04-01
United Kingdom,Service and sales workers,2015/04,408,2015-04-01
Bulgaria,Craft and related trades workers,2015/07,596,2015-07-01
France,Service and sales workers,2016/10,1131,2016-10-01
United Kingdom,"Skilled agricultural, forestry and fishery workers",2016/02,19,2016-02-01
Estonia,Elementary occupations,2016/05,118,2016-05-01
Belgium,Elementary occupations,2016/09,89,2016-09-01
Czech Republic,Managers,2016/09,250,2016-09-01
Hungary,"Skilled agricultural, forestry and fishery workers",2016/01,93,2016-01-01
Netherlands,Craft and related trades workers,2015/12,56,2015-12-01
Austria,Service and sales workers,2016/04,88,2016-04-01
Spain,"Plant and machine operators, and assemblers",2015/04,2154,2015-04-01
Romania,"Plant and machine operators, and assemblers",2015/07,1251,2015-07-01
Latvia,Professionals,2015/07,242,2015-07-01
Croatia,Technicians and associate professionals,2015/09,2841,2015-09-01
Romania,Craft and related trades workers,2015/09,1467,2015-09-01
Czech Republic,Professionals,2015/12,705,2015-12-01
Poland,Craft and related trades workers,2016/05,1400,2016-05-01
Spain,Technicians and associate professionals,2016/06,11334,2016-06-01
Austria,Technicians and associate professionals,2016/06,201,2016-06-01
Bulgaria,Technicians and associate professionals,2016/08,1569,2016-08-01
Netherlands,Professionals,2016/10,1276,2016-10-01
Lithuania,Clerical support workers,2016/03,283,2016-03-01
Estonia,Craft and related trades workers,2016/06,115,2016-06-01
Netherlands,"Skilled agricultural, forestry and fishery workers",2015/06,17,2015-06-01
Denmark,Clerical support workers,2015/06,42,2015-06-01
Malta,Elementary occupations,2015/12,9,2015-12-01
Germany,Elementary occupations,2015/08,90,2015-08-01
Austria,Craft and related trades workers,2015/04,52,2015-04-01
Finland,"Skilled agricultural, forestry and fishery workers",2016/08,31,2016-08-01
Sweden,Service and sales workers,2015/11,279,2015-11-01
Netherlands,"Plant and machine operators, and assemblers",2015/11,46,2015-11-01
Malta,Service and sales workers,2016/04,30,2016-04-01
Italy,Clerical support workers,2016/05,10361,2016-05-01
United Kingdom,Professionals,2016/05,1127,2016-05-01
Lithuania,"Plant and machine operators, and assemblers",2016/09,216,2016-09-01
Bulgaria,Craft and related trades workers,2016/09,766,2016-09-01
Spain,Elementary occupations,2016/09,2403,2016-09-01
Slovakia,Craft and related trades workers,2016/10,66,2016-10-01
Bulgaria,Craft and related trades workers,2015/03,531,2015-03-01
Luxembourg,Professionals,2016/02,42,2016-02-01
Romania,Managers,2016/04,1064,2016-04-01
Latvia,Elementary occupations,2016/05,117,2016-05-01
Sweden,Managers,2015/08,133,2015-08-01
Czech Republic,Elementary occupations,2015/10,213,2015-10-01
Czech Republic,"Skilled agricultural, forestry and fishery workers",2016/04,56,2016-04-01
Estonia,Elementary occupations,2015/06,93,2015-06-01
Luxembourg,Elementary occupations,2016/07,5,2016-07-01
Czech Republic,"Skilled agricultural, forestry and fishery workers",2016/10,64,2016-10-01
Denmark,Managers,2015/06,39,2015-06-01
Greece,Armed forces occupations,2015/06,3,2015-06-01
Slovakia,"Plant and machine operators, and assemblers",2015/04,78,2015-04-01
France,Managers,2015/10,1076,2015-10-01
United Kingdom,Managers,2015/10,215,2015-10-01
Poland,"Plant and machine operators, and assemblers",2015/10,1021,2015-10-01
Spain,Professionals,2015/11,24340,2015-11-01
Finland,Clerical support workers,2015/12,454,2015-12-01
Greece,Technicians and associate professionals,2016/06,2296,2016-06-01
Belgium,Clerical support workers,2016/06,482,2016-06-01
Romania,Elementary occupations,2016/07,2044,2016-07-01
Italy,"Plant and machine operators, and assemblers",2016/08,1956,2016-08-01
Romania,Elementary occupations,2016/09,2095,2016-09-01
United Kingdom,Technicians and associate professionals,2016/09,572,2016-09-01
Italy,Service and sales workers,2016/10,8782,2016-10-01
Bulgaria,Clerical support workers,2016/11,956,2016-11-01
Slovakia,Professionals,2015/06,328,2015-06-01
United Kingdom,Elementary occupations,2015/03,64,2015-03-01
Lithuania,Service and sales workers,2016/02,295,2016-02-01
United Kingdom,"Plant and machine operators, and assemblers",2015/12,45,2015-12-01
Denmark,Service and sales workers,2016/02,78,2016-02-01
Sweden,"Skilled agricultural, forestry and fishery workers",2016/02,9,2016-02-01
Sweden,Elementary occupations,2015/04,82,2015-04-01
Romania,Clerical support workers,2015/06,1281,2015-06-01
Romania,"Skilled agricultural, forestry and fishery workers",2015/07,422,2015-07-01
Hungary,Elementary occupations,2015/08,1098,2015-08-01
Portugal,Service and sales workers,2015/10,1023,2015-10-01
Czech Republic,Clerical support workers,2015/11,360,2015-11-01
Slovenia,Professionals,2016/01,1436,2016-01-01
Sweden,Managers,2016/01,158,2016-01-01
Spain,Managers,2016/02,2877,2016-02-01
Slovenia,Clerical support workers,2016/03,393,2016-03-01
Romania,Professionals,2016/07,5012,2016-07-01
Romania,Clerical support workers,2016/10,1937,2016-10-01
Slovenia,Managers,2016/11,334,2016-11-01
Lithuania,Professionals,2015/03,507,2015-03-01
Belgium,Clerical support workers,2015/05,258,2015-05-01
Netherlands,Elementary occupations,2015/06,26,2015-06-01
Cyprus,Craft and related trades workers,2015/08,19,2015-08-01
Finland,Service and sales workers,2015/11,547,2015-11-01
Slovakia,Technicians and associate professionals,2015/11,188,2015-11-01
Austria,Technicians and associate professionals,2016/08,215,2016-08-01
Czech Republic,Service and sales workers,2016/03,391,2016-03-01
Slovakia,Craft and related trades workers,2016/08,66,2016-08-01
Sweden,Elementary occupations,2015/03,39,2015-03-01
France,Technicians and associate professionals,2015/05,1067,2015-05-01
Hungary,Service and sales workers,2016/08,1467,2016-08-01
Bulgaria,Service and sales workers,2016/11,1225,2016-11-01
Belgium,Craft and related trades workers,2015/10,85,2015-10-01
Latvia,Service and sales workers,2015/05,84,2015-05-01
France,"Plant and machine operators, and assemblers",2015/07,83,2015-07-01
Slovenia,Elementary occupations,2016/09,254,2016-09-01
Slovakia,"Plant and machine operators, and assemblers",2015/08,44,2015-08-01
Croatia,"Skilled agricultural, forestry and fishery workers",2015/11,206,2015-11-01
Latvia,Technicians and associate professionals,2016/01,177,2016-01-01
Denmark,"Plant and machine operators, and assemblers",2016/04,9,2016-04-01
Malta,Elementary occupations,2015/05,8,2015-05-01
Malta,"Plant and machine operators, and assemblers",2015/06,9,2015-06-01
Germany,"Skilled agricultural, forestry and fishery workers",2015/11,20,2015-11-01
United Kingdom,"Skilled agricultural, forestry and fishery workers",2015/12,19,2015-12-01
Bulgaria,Armed forces occupations,2016/07,1,2016-07-01
Hungary,Armed forces occupations,2016/05,1,2016-05-01
Slovenia,Managers,2015/03,199,2015-03-01
Hungary,Craft and related trades workers,2015/05,484,2015-05-01
Hungary,Managers,2015/06,481,2015-06-01
France,Service and sales workers,2015/09,681,2015-09-01
Belgium,Professionals,2015/12,1761,2015-12-01
Croatia,"Plant and machine operators, and assemblers",2016/03,977,2016-03-01
Cyprus,Technicians and associate professionals,2016/03,216,2016-03-01
Finland,Managers,2016/04,419,2016-04-01
Latvia,Service and sales workers,2016/06,131,2016-06-01
Finland,Technicians and associate professionals,2016/07,864,2016-07-01
Romania,"Skilled agricultural, forestry and fishery workers",2016/07,538,2016-07-01
Bulgaria,Elementary occupations,2016/08,692,2016-08-01
Slovenia,Technicians and associate professionals,2016/09,774,2016-09-01
Bulgaria,Technicians and associate professionals,2016/10,1599,2016-10-01
Lithuania,Elementary occupations,2016/07,283,2016-07-01
Slovenia,"Skilled agricultural, forestry and fishery workers",2015/05,27,2015-05-01
Lithuania,Managers,2015/08,216,2015-08-01
Luxembourg,Service and sales workers,2016/11,9,2016-11-01
Luxembourg,Technicians and associate professionals,2015/06,16,2015-06-01
Estonia,Armed forces occupations,2015/10,1,2015-10-01
Bulgaria,"Skilled agricultural, forestry and fishery workers",2015/03,86,2015-03-01
Finland,Managers,2015/08,289,2015-08-01
Greece,Professionals,2015/11,4482,2015-11-01
Poland,Managers,2015/11,579,2015-11-01
Netherlands,Clerical support workers,2016/03,242,2016-03-01
Spain,Managers,2016/05,3108,2016-05-01
Germany,Clerical support workers,2016/05,592,2016-05-01
Portugal,Managers,2016/05,1063,2016-05-01
Lithuania,Managers,2016/10,335,2016-10-01
Slovenia,Managers,2015/04,394,2015-04-01
Portugal,"Skilled agricultural, forestry and fishery workers",2015/07,41,2015-07-01
Bulgaria,"Skilled agricultural, forestry and fishery workers",2016/01,102,2016-01-01
